8.3.1	Quare age rumpe moras et uincla tenacia saecli 
8.3.50	Seruit daemoniis, si simulacra colit. 
8.3.51	Pro dolor! hos propter remoraris in urbe, Licenti, 
8.3.52	Et regnum Christi spernis, ut his placeas? 
8.3.53	Hos uocitas dominos, curua et ceruice salutas, 
8.3.54	Quos ligni seruos conspicis et lapidis? 
8.3.55	Nomine diuino argentum uenerantur et aurum, 
8.3.56	Religio est quod amat morbus auaritiae. 
8.3.57	Imprecor hos ut amet qui non amat Augustinum, 
8.3.58	Non colat et Christum cui placet hos colere. 
8.3.59	Inde ait ipse deus dominis non posse duobus 
8.3.60	Seruiri, quoniam mens placet una deo. 
8.3.61	Vna fides, deus unus et unicus e patre Christus, 
8.3.62	Haud duplex uni seruitus est domino. 
8.3.63	Quanta etenim caelo ac terris distantia, tanta est 
8.3.64	Caesaris et Christi rebus et imperiis. 
8.3.65	Tollere humo, sed nunc dum spiritus hos regit artus, 
8.3.66	Mente polum penetra, nil mora carnis obest. 
8.3.67	Corporeis iam nunc morere actibus et bona uitae 
8.3.68	Caelestis liquido praemeditare animo. 
8.3.69	Spiritus es, quamquam tenearis corpore, si nunc 
8.3.70	Mente pia uictor carnis opus perimas. 
8.3.71	Haec tibi, care puer, fido conpulsus amore 
8.3.72	Scripsi; si recipis, suscipiere deo. 
8.3.73	Crede Augustinum tibi nunc in me geminatum, 
8.3.74	Sume duos una cum pietate patres. 
8.3.75	Spernimur, abstraheris maiore dolore duobus. 
8.3.76	Audimur, pignus dulce duobus eris. 
8.3.77	In te laeta patrum sudauit cura duorum, 
8.3.78	Et tibi magnus honos laetificasse duos. 
8.3.79	Sed me Augustino cum copulo, non meritorum 
8.3.80	Iacto parem, solo comparo amore tui. 
8.3.81	Nam quid ego adfundam rorans tibi paupere riuo? 
8.3.82	Me praeter gemino flumine prolueris: 
8.3.83	Frater Alypius est Augustinusque magister, 
8.3.84	Sanguinis hic consors, hic sator ingenii. 
8.3.85	Tanto fratre uales et praeceptore, Licenti, 
8.3.86	Et dubitas pennis talibus astra sequi? 
8.3.87	Quicquid agas — nam te nec speret mundus amicum — 
8.3.88	Non daberis terrae debita Christo anima. 
8.3.89	Tu thalamos licet et celsos mediteris honores 
8.3.90	Nunc, olim domino resituere tuo. 
8.3.91	Credo unum uincent iusti duo peccatorem 
8.3.92	Et tua fraternae nota preces abigent. 
8.3.93	Ergo redi; qua uoce parens, qua sanguine frater, 
8.3.94	Ambo sacerdotes te remeare iubent. 
8.3.95	Ad tua te retrahunt, nam nunc aliena petessis; 
8.3.96	Haec mage, quae retinent regna tui, tua sunt. 
8.3.97	Haec repete, his inhia; externis ne contere tempus. 
8.3.98	Si tua nolueris, quisquam aliena dabit? 
8.3.99	Non eris ipse tuus, missusque per extera longe. 
8.3.100	Sensibus heu! proprii pectoris exul ages. 
8.3.101	Sollicitum satis haec nato cecinisse parentem, 
8.3.102	Dum tibi quae mihimet uel uolo uel metuo. 
8.3.103	Haec tibi, si recipis, feret olim pagina uitam; 
8.3.104	Si renuis, eadem haec pagina testis erit. 
8.3.105	Incolumem mihi te, fili carissime, Christus 
8.3.106	Annuat et seruum det sibi perpetuo. 
8.3.107	Viue precor, sed uiue deo; nam uiuere mundo 
8.3.108	Mortis opus, uiua est uiuere uita deo. 
