1.1	51	totius	DET	adjective	Case=Gen|Gender=Neut|Number=Sing	totus	det	53
1.1	52	uel	CCONJ	conjunction		uel	cc	53
1.1	53	uerbi	NOUN	noun	Case=Gen|Gender=Neut|Number=Sing	uerbum	nmod	47
1.1	54	uel	CCONJ	conjunction		uel	cc	55
1.1	55	operis	NOUN	noun	Case=Gen|Gender=Neut|Number=Sing	opus	conj	53
1.1	56	et	CCONJ	conjunction		et	cc	55
1.1	57	a	ADP	preposition		ab	case	58
1.1	58	deo	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	deus	obl:arg	61
1.1	59	nobis	PRON	pronoun	Case=Dat|Number=Plur|Person=1	nos	obl:arg	61
1.1	60	origo	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	origo	nsubj:pass	61
1.1	61	sumatur	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	sumo	ROOT	61
1.1	62	et	CCONJ	conjunction		et	cc	66
1.1	63	in	ADP	preposition		in	case	64
1.1	64	deum	NOUN	noun	Case=Acc|Gender=Masc|Number=Sing	deus	nmod	65
1.1	65	consummatio	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	consummatio	nsubj:pass	66
1.1	66	referatur	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	refero	conj	61
1.1	67	.	PUNCT	punc		.	punct	61
1.1	68	causa	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	causa	ROOT	68
1.1	69	,	PUNCT	punc		,	punct	95
1.1	70	pro	ADP	preposition		pro	case	71
1.1	71	qua	PRON	pronoun	Case=Abl|Gender=Fem|Number=Sing	qui	obl	95
1.1	72	dudum	NOUN	adverb	Case=Acc|Gender=Masc|Number=Sing	dudum	case	71
1.1	73	uelut	ADV	adverb		uelut	cc	74
1.1	74	taedio	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	taedium	obl	95
1.1	75	quodam	DET	adjective	Case=Abl|Gender=Masc|Number=Sing	quidam	det	74
1.1	76	et	CCONJ	conjunction		et	cc	79
1.1	77	2	NUM	number		2	nummod	78
1.1	78	indignatione	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	indignatio	obl	79
1.1	79	superatus	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	supero	conj	74
1.1	80	abscessi	VERB	noun	Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	abscedo	nmod	74
1.1	81	et	CCONJ	conjunction		et	mark	80
1.1	82	elongaui	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	elongo	conj	80
1.1	83	fugiens	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	fugio	conj	80
1.1	84	et	CCONJ	conjunction		et	cc	85
1.1	85	habitaui	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	habito	conj	80
1.1	86	in	ADP	preposition		in	case	87
1.1	87	desejto	VERB	verb	Case=Abl|Gender=Neut|Number=Sing|VerbForm=Part|Voice=Pass	desejto	obl	85
1.1	88	non	PART	particle		non	advmod:neg	89
1.1	89	paruo	ADJ	adjective	Case=Abl|Gender=Neut|Number=Sing	paruus	amod	90
1.1	90	tempore	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	tempus	conj	80
1.1	91	,	PUNCT	punc		,	punct	74
1.1	92	alia	DET	adjective	Case=Nom|Gender=Fem|Number=Sing	alius	nsubj:pass	95
1.1	93	fortassis	ADV	adverb		fortasse	advmod	95
1.1	94	aliis	DET	adjective	Case=Dat|Gender=Masc|Number=Plur	alius	obl	95
1.1	95	uideatur	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	uideo	acl:relcl	68
1.1	96	,	PUNCT	punc		,	punct	97
1.1	97	his	DET	adjective	Case=Dat|Gender=Masc|Number=Plur	hic	dep	95
1.1	98	qui	PRON	pronoun	Case=Nom|Gender=Masc|Number=Plur	qui	nsubj:pass	110
1.1	99	uel	CCONJ	conjunction		uel	cc	100
1.1	100	odio	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	odium	obl	110
1.1	101	erga	ADP	preposition		erga	case	102
1.1	102	me	PRON	pronoun	Case=Acc|Number=Sing|Person=1	ego	nmod	100
1.1	103	,	PUNCT	punc		,	punct	106
1.1	104	ut	SCONJ	conjunction		ut	mark	106
1.1	105	fieri	VERB	verb	Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Inf|Voice=Pass	facio	xcomp	106
1.1	106	solet	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	soleo	conj	100
1.1	107	,	PUNCT	punc		,	punct	100
1.1	108	uel	CCONJ	conjunction		uel	cc	110
1.1	109	amore	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	amor	obl	110
1.1	110	detinentur	VERB	verb	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	detineo	acl:relcl	97
1.1	111	.	PUNCT	punc		.	punct	68
1.1	112	et	CCONJ	conjunction		et	ROOT	112
1.1	113	id	PRON	pronoun	Case=Nom|Gender=Neut|Number=Sing|Person=3	is	case	112
1.1	114	quod	PRON	pronoun	Case=Acc|Gender=Neut|Number=Sing	qui	nsubj:pass	118
1.1	115	tunc	ADV	adverb		tunc	advmod:tmod	118
1.1	116	feri	VERB	verb	Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Inf|Voice=Pass	ferio	xcomp	118
1.1	117	quidam	DET	adjective	Case=Nom|Gender=Masc|Number=Plur	quidam	nsubj:pass	118
1.1	118	uidebamur	VERB	verb	Mood=Ind|Number=Plur|Person=1|Tense=Imp|VerbForm=Fin|Voice=Pass	uideo	acl:relcl	113
1.1	119	et	ADV	conjunction		et	cc	120
1.1	120	inmites	VERB	adjective	Case=Nom|Gender=Masc|Number=Plur|VerbForm=Part|Voice=Act	inmitis	conj	118
1.1	121	,	PUNCT	punc		,	punct	124
1.1	122	nunc	ADV	adverb		nunc	advmod:tmod	124
1.1	123	uero	ADV	adverb		uero	discourse	124
1.1	124	mansueuimus	VERB	verb	Mood=Ind|Number=Plur|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	mansuesco	conj	113
1.1	125	et	CCONJ	conjunction		et	advmod:emph	126
1.1	126	regressi	VERB	verb	Case=Nom|Gender=Masc|Number=Plur|VerbForm=Part|Voice=Pass	regredior	conj	124
1.1	127	sumus	AUX	verb	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	sum	cop	124
1.1	128	in	ADP	preposition		in	case	129
1.1	129	hoc	DET	adjective	Case=Acc|Gender=Neut|Number=Sing	hic	obl	124
1.1	130	quod	SCONJ	conjunction		quod	mark	131
1.1	131	antea	ADV	adverb		antea	acl	129
1.1	132	fueramus	AUX	verb	Mood=Ind|Number=Plur|Person=1|Tense=Pqp|VerbForm=Fin	sum	cop	131
1.1	133	,	PUNCT	punc		,	punct	136
1.1	134	alius	DET	adjective	Case=Nom|Gender=Masc|Number=Sing	alius	nsubj	136
1.1	135	quidem	PART	particle		quidem	discourse	136
1.1	136	culpat	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	culpo	conj	113
1.1	137	inconstantiae	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	inconstantia	obl:arg	136
1.1	138	,	PUNCT	punc		,	punct	140
1.1	139	alius	DET	adjective	Case=Nom|Gender=Masc|Number=Sing	alius	dep	140
1.1	140	amplectitur	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	amplector	conj	113
1.1	141	factum	VERB	verb	Case=Acc|Gender=Neut|Number=Sing|VerbForm=Part|Voice=Pass	facio	xcomp	140
1.1	142	.	PUNCT	punc		.	punct	113
1.1	143	nihil	PRON	pronoun	Case=Nom	nihil	nsubj	149
1.1	144	enim	PART	particle		enim	discourse	149
1.1	145	hominibus	NOUN	noun	Case=Dat|Gender=Masc|Number=Plur	homo	obl:arg	146
1.1	146	suauius	ADJ	adjective	Case=Nom|Gender=Neut|Number=Sing	suauior	advcl:pred	149
1.1	147	quam	SCONJ	conjunction		quam	mark	148
1.1	148	aliena	NOUN	noun	Case=Acc|Gender=Neut|Number=Plur	alienus	advcl:cmp	146
1.1	149	loqui	VERB	verb	Case=Nom|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Inf|Voice=Pass	loquor	ROOT	149
1.1	150	et	CCONJ	conjunction		et	cc	153
1.1	151	3	NUM	number		3	nummod	152
1.1	152	aliena	ADJ	noun	Case=Acc|Gender=Neut|Number=Plur	alienus	obj	153
1.1	153	curare	VERB	verb	Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Inf|Voice=Act	curo	conj	149
1.1	154	,	PUNCT	punc		,	punct	155
1.1	155	maxime	ADV	adverb		magne	advcl	153
1.1	156	si	SCONJ	conjunction		si	mark	157
1.1	157	eueniat	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	euenio	advcl	155
1.1	158	uel	CCONJ	conjunction		uel	cc	159
1.1	159	odio	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	odium	obl	163
1.1	160	aliquos	PRON	adjective	Case=Acc|Gender=Masc|Number=Plur	aliquis	nsubj:pass	163
1.1	161	uel	CCONJ	conjunction		uel	cc	163
1.1	162	amore	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	amor	obl	163
1.1	163	praeueniri	VERB	verb	Case=Acc|Gender=Neut|Number=Sing|Tense=Pres|VerbForm=Inf|Voice=Pass	praeuenio	csubj	157
1.1	164	.	PUNCT	punc		.	punct	149
1.1	165	a	ADP	preposition		a	case	166
1.1	166	quibus	PRON	pronoun	Case=Abl|Gender=Masc|Number=Plur	qui	obl:arg	169
1.1	167	praecipue	ADV	adverb		praecipue	advmod	169
1.1	168	semper	ADV	adverb		semper	advmod:tmod	169
1.1	169	occultatur	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	occulto	ROOT	169
1.1	170	ueritas	NOUN	noun	Case=Nom|Gender=Fem|Number=Sing	ueritas	nsubj:pass	169
1.1	171	et	CCONJ	conjunction		et	cc	172
1.1	172	furatur	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	furor	conj	169
1.1	173	.	PUNCT	punc		.	punct	169
1.1	174	alii	DET	adjective	Case=Nom|Gender=Masc|Number=Plur	alium	nsubj	180
1.1	175	igitur	PART	particle		igitur	discourse	180
1.1	176	,	PUNCT	punc		,	punct	175
1.1	177	ut	SCONJ	conjunction		ut	mark	178
1.1	178	dixi	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|Voice=Act	dico	advcl:cmp	180
1.1	179	,	PUNCT	punc		,	punct	178
1.1	180	putent	VERB	verb	Mood=Sub|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	puto	ROOT	180
1.1	181	alia	DET	adjective	Case=Acc|Gender=Neut|Number=Plur	alius	obj	180
1.1	182	,	PUNCT	punc		,	punct	189
1.1	183	ego	PRON	pronoun	Case=Nom|Number=Sing|Person=1	ego	nsubj	189
1.1	184	uero	ADV	adverb		uerus	discourse	189
1.1	185	absque	ADP	preposition		absque	case	187
1.1	186	omni	DET	adjective	Case=Abl|Gender=Fem|Number=Sing	omnis	det	187
1.1	187	uerecundia	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	uerecundia	obl	189
1.1	188	quod	PRON	pronoun	Case=Nom|Gender=Neut|Number=Sing	qui	nsubj	189
1.1	189	uerum	ADJ	adjective	Case=Nom|Gender=Neut|Number=Sing	uerus	conj	180
1.1	190	est	AUX	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	sum	cop	189
1.1	191	in	ADP	preposition		in	case	192
1.1	192	medium	ADJ	adjective	Case=Acc|Gender=Neut|Number=Sing	medius	obl	189
1.1	193	proferam	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	profero	orphan	189
1.1	194	utrisque	DET	adjective	Case=Dat|Gender=Masc|Number=Plur	uterque	obl:arg	193
1.1	195	3	NUM	number		3	nummod	196
1.1	196	cf	NOUN	noun		cf	advcl:abs	180
1.1	197	.	PUNCT	punc		.	punct	196
1.1	198	Pa	NOUN	adverb		pa	obl	210
1.1	199	.	PUNCT	punc		.	punct	198
1.1	200	36	NUM	number		36	nummod	198
1.1	201	,	PUNCT	punc		,	punct	202
1.1	202	7	NUM	number		7	conj	198
1.1	203	10	NUM	number		10	nummod	198
1.1	204	Ps	NOUN	noun		Ps	nummod	198
1.1	205	.	PUNCT	punc		.	punct	204
1.1	206	54	NUM	number		54	nummod	204
1.1	207	,	PUNCT	punc		,	punct	208
1.1	208	8	NUM	number		8	conj	204
1.1	209	2	NUM	number		2	nummod	204
1.1	210	INCIPIT	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	incipio	ROOT	210
1.1	211	LIBER	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	LIBER	nsubj	210
1.1	212	*	PUNCT	punc		*	punct	210
1.1	213	APOLOGETICUS	NOUN	adjective	Case=Nom|Gender=Masc|Number=Sing	apologeticus	amod	214
1.1	214	SCI	NOUN	noun	Case=Dat|Gender=Masc|Number=Sing	scio	dislocated	210
1.1	215	GREGORII	PROPN	proper_noun	Case=Gen|Gender=Masc|Number=Sing	GREGORII	nmod	214
1.1	216	NAZAN­	PROPN	proper_noun		NAZAN­	nsubj	210
1.1	217	ZENI	PROPN	proper_noun	Case=Gen|Gender=Masc|Number=Sing	ZENI	nmod	216
1.1	218	EPISCOPI	NOUN	noun	Case=Gen|Gender=Masc|Number=Sing	EPISCOPI	nmod	217
1.1	219	V	NUM	number		V	dislocated	210
1.1	220	4	NUM	number		4	nummod	219
1.1	221	a	ADP	preposition		ab	case	222
1.1	222	domino	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	dominus	obl	210
1.1	223	v	NUM	number		u	nummod	222
1.1	224	5	NUM	number		5	nummod	223
1.1	225	adaperiat	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|Voice=Act	adaperio	conj	210
1.1	226	OCv	NOUN	adverb		OCv	obj	225
1.1	227	ostium	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	ostium	obj	225
1.1	228	]	PUNCT	punc		]	punct	225
1.1	229	ostuum	NOUN	noun	Case=Gen|Gender=Masc|Number=Plur	ostu	nmod	225
1.1	230	Ca.c	PUNCT	adjective		Ca.c	obl	225
1.1	231	.	PUNCT	punc		.	punct	230
1.1	232	exordium	NOUN	noun	Case=Nom|Gender=Neut|Number=Sing	exordium	dep	274
1.1	233	OAV	NOUN	adverb		OAV	nmod	232
1.1	234	6	NUM	number		6	nummod	233
1.1	235	in	ADP	ADP		in	case	236
1.1	236	Dauid	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Dauid	nmod	237
1.1	237	om	NOUN	noun		om	nmod	232
1.1	238	.	PUNCT	punc		.	punct	237
1.1	239	V	NUM	number		V	nummod	237
1.1	240	nunc	ADV	adverb		nunc	advmod:tmod	237
1.1	241	etiam	ADV	conjunction		etiam	advmod	237
1.1	242	v	NUM	number		u	dislocated	237
1.1	243	7	NUM	number		7	nummod	242
1.1	244	obtimua	ADJ	adjective	Case=Nom|Gender=Fem|Number=Sing	obtimua	amod	232
1.1	245	C	NOUN	NOUN		C	cc	244
1.1	246	ut	ADV	adverb		ut	advmod	244
1.1	247	]	PUNCT	punc		]	punct	249
1.1	248	et	CCONJ	conjunction		et	cc	249
1.1	249	Cv	NOUN	noun		Cv	advcl:cmp	244
1.1	250	8	NUM	number		8	nummod	249
1.1	251	et	CCONJ	conjunction		et	cc	249
1.1	252	]	PUNCT	punc		]	punct	255
1.1	253	ut	SCONJ	adverb		ut	mark	255
1.1	254	OCv	NOUN	preposition	Case=Nom|Gender=Masc|Number=Sing	OCv	nsubj:pass	255
1.1	255	statuatur	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	statuo	advcl	261
1.1	256	A	SCONJ	ADP		Ab	mark	261
1.1	257	in	ADP	ADP		in	case	258
1.1	258	deo	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	deus	obl	261
1.1	259	OCv	NOUN	preposition		OCv	case	260
1.1	260	consummatione	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	consummatio	obl	261
1.1	261	feratur	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	fero	acl:relcl	232
1.1	262	Ca.c	NOUN	punc		Ca.c	obl	261
1.1	263	.	PUNCT	punc		.	punct	262
1.1	264	11	NUM	number		11	obl	261
1.1	265	aliter	ADV	adverb		aliter	conj	232
1.1	266	A	ADP	ADP		A	case	267
1.1	267	aliis	DET	adjective	Case=Abl|Gender=Masc|Number=Plur	alius	obl	265
1.1	268	]	PUNCT	punc		]	acl	232
1.1	269	ab	ADP	ADP		ab	case	270
1.1	270	his	DET	adjective	Case=Abl|Gender=Masc|Number=Plur	hic	case	258
1.1	271	A	ADP	ADP		A	obl:arg	274
1.1	272	12	NUM	number		12	obl	274
1.1	273	ui­	NOUN	noun		ui­s	obl	274
1.1	274	detur	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	do	ROOT	274
1.1	275	v	NOUN	number		u	obl	274
1.1	276	his	DET	adjective	Case=Dat|Gender=Masc|Number=Plur	hic	orphan	277
1.1	277	om	NOUN	noun		om	nmod	275
1.1	278	.	PUNCT	punc		.	punct	277
1.1	279	A	INTJ	INTJ		ab	case	280
1.1	280	erga	ADV	conjunction		erga	ROOT	280
1.1	281	]	PUNCT	punc		]	advcl	280
1.1	282	circa	ADP	adverb		circa	case	283
1.1	283	V	NOUN	number		V	obl	281
1.1	284	13	NUM	number		13	nummod	283
1.1	285	quidaem	ADV	adjective		quidaem	case	283
1.1	286	0	PUNCT	number		0	orphan	288
1.1	287	quidem	ADV	adverb		quidem	discourse	288
1.1	288	CVp	NOUN	noun		CVp	appos	285
1.1	289	c.	PUNCT	punc		c.	punct	288
1.1	290	,Av	PUNCT	punc		,Av	punct	288
1.1	291	et	CCONJ	conjunction		et	cc	292
1.1	292	inmites	NOUN	adjective	Case=Nom|Gender=Fem|Number=Sing	inmitis	conj	290
1.1	293	]	PUNCT	punc		]	punct	285
1.1	294	etigunmites	ADV	adverb		etigunmites	conj	280
1.1	295	0	NUM	number		0	nummod	294
1.1	296	14	NUM	number		14	nummod	295
1.1	297	et	CCONJ	conjunction		et	cc	298
1.1	298	egressi	VERB	verb	Case=Nom|Gender=Masc|Number=Plur|VerbForm=Part|Voice=Pass	egredior	advcl	304
1.1	299	A	ADP	ADP		A	case	300
1.1	300	15	NUM	number		15	obl	298
1.1	301	fu*era­	NOUN	noun		fu*era­	obj	304
1.1	302	mus	NOUN	noun		mus	nmod	301
1.1	303	V	NUM	number		V	nummod	302
1.1	304	fugeramus	VERB	verb	Mood=Ind|Number=Plur|Person=1|Tense=Pqp|VerbForm=Fin|Voice=Act	fugio	acl	294
1.1	305	(	PUNCT	punc		(	punct	306
1.1	306	g	NOUN	adjective		g	obl	304
1.1	307	exp	NOUN	noun		exp	nmod	306
1.1	308	.	PUNCT	punc		.	punct	307
1.1	309	m2	NUM	number		m2	obl	320
1.1	310	)	PUNCT	punc		)	punct	309
1.1	311	C	CCONJ	conjunction		C	cc	312
1.1	312	inconstantiam	NOUN	noun	Case=Acc|Gender=Fem|Number=Sing	inconstantia	obj	320
1.1	313	A	ADP	ADP		A	case	318
1.1	314	16	NUM	number		16	nummod	313
1.1	315	enim	PART	conjunction		enim	discourse	317
1.1	316	post	ADV	ADP		post	case	317
1.1	317	hominibus	NOUN	noun	Case=Abl|Gender=Masc|Number=Plur	homo	case	313
1.1	318	Cv	NOUN	conjunction		Cv	orphan	312
1.1	319	17	NUM	number		17	nummod	318
1.1	320	amare	VERB	verb	Tense=Pres|VerbForm=Inf|Voice=Act	amarus	ROOT	320
1.1	321	(	PUNCT	punc		(	punct	325
1.1	322	o	PART	PART		o	advmod:emph	325
1.1	323	s.	PUNCT	punc		s.	punct	322
1.1	324	a	ADP	ADP		a	case	325
1.1	325	m2	ADJ	number		m2	obl	320
1.1	326	)	PUNCT	punc		)	punct	325
1.1	327	C	CCONJ	conjunction		C	cc	329
1.1	328	18	NUM	number		18	nummod	327
1.1	329	perueniri	VERB	verb	Tense=Pres|VerbForm=Inf|Voice=Pass	peruenio	conj	320
1.1	330	R	NOUN	NOUN		R	obl	329
1.1	331	20	NUM	number		20	nummod	330
1.1	332	in	ADP	ADP		in	case	333
1.1	333	medio	ADJ	adjective	Case=Abl|Gender=Neut|Number=Sing	medius	obl	338
1.1	334	V	NUM	number		V	nummod	333
1.1	335	utriusque	DET	adjective	Case=Gen|Gender=Fem|Number=Sing	uterque	det	337
1.1	336	C	CCONJ	conjunction		C	cc	335
1.1	337	partibus	NOUN	noun	Case=Abl|Gender=Fem|Number=Plur	pars	nmod	333
1.1	338	satis	ADV	adverb		satis	advmod	339
1.1	339	faciens	VERB	verb	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	facio	xcomp	329
1.1	340	,	PUNCT	punc		,	punct	344
1.1	341	id	PRON	pronoun	Case=Nom|Gender=Neut|Number=Sing|Person=3	is	advmod:emph	344
1.1	342	est	AUX	verb	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	sum	fixed	341
1.1	343	tam	CCONJ	adverb		tam	cc	344
1.1	344	his	DET	adjective	Case=Dat|Gender=Masc|Number=Plur	hic	advcl	320
1.1	345	qui	PRON	pronoun	Case=Nom|Gender=Masc|Number=Sing	qui	nsubj	346
1.1	346	affectu	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	affectus	acl:relcl	344
1.1	347	in	ADP	ADP		in	case	348
1.1	348	nos	PRON	pronoun	Case=Acc|Number=Plur|Person=1	nos	dep	346
1.1	349	quam	CCONJ	conjunction		quam	cc	352
1.1	350	,	PUNCT	punc		,	punct	349
1.1	351	etiam	ADV	conjunction		etiam	advmod:emph	352
1.1	352	his	DET	adjective	Case=Dat|Gender=Masc|Number=Plur	hic	conj	344
1.1	353	qui	PRON	pronoun	Case=Nom|Gender=Masc|Number=Plur	qui	nsubj:pass	355
1.1	354	odio	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	odium	obl	355
1.1	355	permouentur	VERB	verb	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	permoueo	acl:relcl	352
1.1	356	,	PUNCT	punc		,	punct	363
1.1	357	in	ADP	ADP		in	case	358
